id,RarityScore,PunkType,FullType,AttributeCount,Hair,Eyes,FacialHair,NeckAccessory,MouthProp,Mouth,Blemishes,Ears,Nose,ETHPrice,USDPrice,TimeInDays,TimesSold,LastUSDPrice,LastETHPrice,TimePurchase,LastPercentChange,DaysBetweenPurchases
8641,78.43,Male,Male-Albino,2,Frumpy Hair,Clown Eyes Blue,None,Clown Eyes Blue,None,None,None,None,None,"[66.67, 22.0, 21.0, 20.0, 22.0, 4.8]","[161790.0, 53390.0, 50960.0, 48540.0, 53390.0, 11650.0]","[152.185, 273.933, 273.933, 273.933, 334.807, 365.25]",6.0,161790.00,66.67,152.19,203.0286003258976,121.74799999999999
8642,78.21,Male,Male-Dark,3,Bandana,Eye Patch,Shadow Beard,Eye Patch,None,None,None,None,None,[27.75],[67340.0],[182.622],1.0,67340.00,27.75,182.62,NA,NA
8643,137.7,Male,Male-Dark,3,Wild Hair,None,Muttonchops,None,None,None,None,None,None,"[57.9, 56.9, 36.0, 22.9, 20.0]","[140510.0, 138080.0, 87360.0, 55570.0, 48540.0]","[152.185, 152.185, 152.185, 182.622, 243.496]",5.0,140510.00,57.90,152.19,1.7591124050376228,0.0
8644,66.62,Male,Male-Dark,2,Messy Hair,Clown Eyes Blue,None,Clown Eyes Blue,None,None,None,None,None,"[42.9, 44.9, 35.65, 15.7, 9.5]","[104110.0, 108960.0, 86520.0, 38100.0, 23050.0]","[152.185, 152.185, 152.185, 334.807, 334.807]",5.0,104110.00,42.90,152.19,-4.452051651508338,0.0
8645,100.53,Male,Male-Dark,3,Cap,Horned Rim Glasses,Front Beard,Horned Rim Glasses,None,None,None,None,None,"[75.95, 78.0]","[184320.0, 189290.0]","[30.437, 30.437]",2.0,184320.00,75.95,30.44,-2.626115346212974,0.0
8646,96.33,Female,Female-Light,3,Mohawk Thin,Blue Eye Shadow,None,Blue Eye Shadow,None,Purple Lipstick,None,None,None,[0.32],[776.5],[1461.0],1.0,776.50,0.32,1461.00,NA,NA
8647,76.7,Female,Female-Dark,3,Stringy Hair,Horned Rim Glasses,None,Horned Rim Glasses,None,Purple Lipstick,None,None,None,[21.97],[53320.0],[273.933],1.0,53320.00,21.97,273.93,NA,NA
8648,87.97,Male,Male-Albino,3,Mohawk Thin,Eye Patch,None,Eye Patch,None,None,Mole,None,None,[22.75],[55210.0],[243.496],1.0,55210.00,22.75,243.50,NA,NA
8649,101.31,Male,Male-Light,3,Do-rag,Horned Rim Glasses,Muttonchops,Horned Rim Glasses,None,None,None,None,None,"[55.0, 0.57]","[133470.0, 1380.0]","[152.185, 365.25]",2.0,133470.00,55.00,152.19,9564.735698769007,213.065
8650,76.16,Male,Male-Dark,3,Messy Hair,Big Shades,Shadow Beard,Big Shades,None,None,None,None,None,,,,,,,,,
8651,175.38,Male,Male-Light,4,Cowboy Hat,Horned Rim Glasses,Shadow Beard,Horned Rim Glasses,None,None,None,None,Clown Nose,"[66.66, 40.0]","[161770.0, 97070.0]","[152.185, 304.37]",2.0,161770.00,66.66,152.19,66.65121405981189,152.185
8652,87.02,Male,Male-Albino,2,Bandana,None,Chinstrap,None,None,None,None,None,None,,,,,,,,,
8653,77.01,Male,Male-Mid,3,Peak Spike,None,None,None,Cigarette,None,Mole,None,None,"[60.0, 63.0, 65.0, 55.0, 21.0, 6.56]","[145610.0, 152890.0, 157740.0, 133470.0, 50960.0, 15920.0]","[12.0, 15.0, 29.0, 152.185, 243.496, 334.807]",6.0,145610.00,60.00,12.00,-4.762216219398133,3.0
8654,115.9,Male,Male-Albino,3,Mohawk Dark,None,None,None,None,None,None,Earring,None,[49.0],[118910.0],[152.185],1.0,118910.00,49.00,152.19,NA,NA
8655,83.34,Male,Male-Light,3,Mohawk Dark,None,Front Beard Dark,None,None,None,None,Earring,None,"[4.9, 3.25, 2.96]","[11890.0, 7890.0, 7180.0]","[365.25, 365.25, 365.25]",3.0,11890.00,4.90,365.25,50.67798758078824,0.0
8656,67.44,Female,Female-Dark,2,Mohawk Thin,Eye Patch,None,Eye Patch,None,None,None,None,None,"[13.81, 2.99, 1.1]","[33510.0, 7260.0, 2670.0]","[334.807, 365.25, 365.25]",3.0,33510.00,13.81,334.81,361.5066795207272,30.442999999999984
8657,78.28,Female,Female-Light,2,Mohawk,None,None,None,Pipe,None,None,None,None,,,,,,,,,
8658,147.4,Male,Male-Albino,4,Wild Hair,None,Shadow Beard,None,Pipe,Smile,None,None,None,"[37.0, 24.99]","[89790.0, 60650.0]","[304.37, 334.807]",2.0,89790.00,37.00,304.37,48.043725577484295,30.437000000000012
8659,117.57,Male,Male-Light,3,Stringy Hair,None,Shadow Beard,None,None,None,None,None,None,"[18.88, 6.12, 0.1, 0.1]","[45820.0, 14850.0, 242.6, 242.6]","[334.807, 365.25, 1095.75, 1095.75]",4.0,45820.00,18.88,334.81,208.53141202612616,30.442999999999984
8660,154.8,Male,Male-Mid,3,None,None,Front Beard,None,Medical Mask,None,None,Earring,None,,,,,,,,,
8661,121.99,Male,Male-Dark,3,Clown Hair Green,Horned Rim Glasses,Shadow Beard,Horned Rim Glasses,None,None,None,None,None,,,,,,,,,
8662,60.27,Female,Female-Mid,2,Bandana,None,None,None,None,None,Mole,None,None,"[19.8, 3.5, 3.25]","[48050.0, 8490.0, 7890.0]","[182.622, 365.25, 365.25]",3.0,48050.00,19.80,182.62,465.8932987869509,182.628
8663,101.55,Female,Female-Dark,4,Cap,Eye Patch,None,Eye Patch,Cigarette,Black Lipstick,None,None,None,,,,,,,,,
8664,135.07,Male,Male-Dark,3,Police Cap,Eye Mask,Luxurious Beard,Eye Mask,None,None,None,None,None,,,,,,,,,
8665,129.26,Female,Female-Dark,2,Red Mohawk,Purple Eye Shadow,None,Purple Eye Shadow,None,None,None,None,None,"[25.0, 23.0]","[60670.0, 55820.0]","[304.37, 334.807]",2.0,60670.00,25.00,304.37,8.686694971426524,30.437000000000012
8666,75.27,Male,Male-Mid,3,Peak Spike,Eye Patch,None,Eye Patch,None,None,None,Earring,None,"[114.0, 82.5, 14.78, 2.96, 0.85, 0.79]","[276660.0, 200210.0, 35870.0, 7180.0, 2060.0, 1920.0]","[121.748, 152.185, 334.807, 365.25, 365.25, 365.25]",6.0,276660.00,114.00,121.75,38.18421565248663,30.436999999999998
8667,111.61,Male,Male-Dark,3,Wild Hair,None,Muttonchops,None,None,Frown,None,None,None,"[66.97, 54.98, 49.0, 0.01, 49.9, 35.9, 23.0, 2.5, 2.19, 1.99, 0.25]","[162520.0, 133430.0, 118910.0, 24.2, 121100.0, 87120.0, 55820.0, 6070.0, 5310.0, 4830.0, 606.7]","[152.185, 152.185, 152.185, 152.185, 152.185, 152.185, 243.496, 365.25, 365.25, 365.25, 730.5]",11.0,162520.00,66.97,152.19,21.800780927970262,0.0
8668,79.82,Male,Male-Mid,2,Wild Hair,None,Handlebars,None,None,None,None,None,None,"[124.0, 108.99]","[300920.0, 264500.0]","[121.748, 121.748]",2.0,300920.00,124.00,121.75,13.768946053134016,0.0
8669,167.8,Female,Female-Light,3,Dark Hair,Clown Eyes Blue,None,Clown Eyes Blue,Medical Mask,None,None,None,None,[100.0],[242680.0],[60.874],1.0,242680.00,100.00,60.87,NA,NA
