id,RarityScore,AttributeCount,Background,Fur,Skin,Head,Mouth,Teeth,Clothing,EyeWear,PriceSellSOL,TimeInDays,TimesSold,LastSOLPrice,TimePurchase,LastPriceSOL
84,1068,4,Red,Red , Blue,Snapback Cap,Hotdog,Wooden Tooth,No Traits,Ape Vipers,,,,,,
85,6775,4,Black,Ice,Ice,Baseball Cap,Pipe,No Traits,Tie-Dye T-Shirt,VR Headset,,,,,,
86,1130,2,Blue,Albino , Peach,Captain's Hat,Pizza,No Traits,No Traits,No Traits,"['69.00', '44.69', '93.88']","[91.311, 182.622, 243.496]",3.0,69.00,91.31,69.0
87,1768,4,Blue,Blue , Peach,Top Hat,Corndog,Wooden Tooth,No Traits,Wayfarer Glasses,,,,,,
88,1208,4,Green,Green , Peach,Bucket Hat,Sandwich,Gold Tooth,Dress,No Traits,"['57.00', '49.99', '65.00']","[2.0, 213.059, 243.496]",3.0,57.00,2.0,57.0
89,986,3,Blue,Albino , Peach,Snapback Cap,Soda,No Traits,No Traits,Ape Vipers,['22.27'],[243.496],1.0,22.27,243.5,22.27
90,1601,3,Red,Red , Peach,Mobster Hat,Smooth Brain,No Traits,Cheerleader,No Traits,"['101.43', '85.26', '90.53', '15.33']","[243.496, 243.496, 243.496, 243.496]",4.0,101.43,243.5,101.43
91,1166,3,Red,Red , Blue,Conical Hat,Pizza,No Traits,Academy Uniform,No Traits,"['35.00', '87.18', '23.95']","[152.185, 243.496, 243.496]",3.0,35.00,152.19,35.0
92,1886,2,Purple,Blue , Peach,No Traits,No Traits,No Traits,Silk Robe,Round Glasses,['34.49'],[243.496],1.0,34.49,243.5,34.49
93,1250,3,Purple,Purple , Peach,Pilot's Hat,Burger,No Traits,Hoodie,No Traits,"['81.00', '52.69']","[30.437, 243.496]",2.0,81.00,30.44,81.0
94,1424,3,Green,Green , Peach,Straw Hat,Corndog,No Traits,Turtleneck Suit,No Traits,"['65.00', '49.98', '28.78', '16.29']","[182.622, 243.496, 243.496, 273.933]",4.0,65.00,182.62,65.0
95,876,3,Yellow,Brown , Peach,Mobster Hat,Sandwich,No Traits,Wetsuit,No Traits,"['90.05', '56.52', '114.00']","[243.496, 243.496, 243.496]",3.0,90.05,243.5,90.05
96,921,3,Green,Green , Peach,Sailor's Hat,Sandwich,No Traits,Overalls,No Traits,"['85.26', '11.21', '10.54']","[243.496, 243.496, 243.496]",3.0,85.26,243.5,85.26
97,1055,4,Red,Red , Blue,Mobster Hat,Pizza,No Traits,Denim Vest,Aviator Glasses,"['18.86', '13.41']","[243.496, 243.496]",2.0,18.86,243.5,18.86
98,976,2,Black,Red , Blue,No Traits,Sandwich,No Traits,Jungle Explorer,No Traits,"['14.00', '13.41']","[182.622, 243.496]",2.0,14.00,182.62,14.0
99,956,2,Red,Brown , Peach,No Traits,Drool,No Traits,Japanese Uniform,No Traits,['13.41'],[243.496],1.0,13.41,243.5,13.41
100,1200,3,Green,Green , Peach,Football Helmet,Eggplant,No Traits,Maid's Uniform,No Traits,"['93.69', '94.84', '9.48', '13.41']","[243.496, 243.496, 243.496, 243.496]",4.0,93.69,243.5,93.69
101,2239,4,Yellow,Brown , Yellow,Racoon Skin Hat,Hotdog,No Traits,Turtleneck,Heart Glasses,"['50.00', '150.00']","[121.748, 213.059]",2.0,50.00,121.75,50.0
102,1087,2,Yellow,Brown , Peach,Policeman's Cap,Hotdog,No Traits,No Traits,No Traits,"['99.00', '11.06', '14.85', '13.70', '19.05', '17.24']","[30.437, 243.496, 243.496, 243.496, 273.933, 273.933]",6.0,99.00,30.44,99.0
103,1611,4,Green,Leopard,Leopard,Pilot's Hat,Grilled Cheese,Wooden Tooth,Black T-Shirt,No Traits,"['201.18', '40.72']","[243.496, 243.496]",2.0,201.18,243.5,201.18
104,734,1,Red,Red , Peach,No Traits,No Traits,No Traits,Cheerleader,No Traits,"['50.77', '22.99']","[243.496, 243.496]",2.0,50.77,243.5,50.77
105,879,3,Green,Blue , Peach,Baseball Cap,Corndog,No Traits,Striped T-Shirt,No Traits,"['19.16', '16.19']","[243.496, 273.933]",2.0,19.16,243.5,19.16
106,2250,4,Yellow,Brown , Peach,Graduation Cap,Pizza,No Traits,Maid's Uniform,Heart Glasses,,,,,,
107,1803,4,Yellow,Brown , Yellow,Sultan's Turban,Burger,No Traits,Maid's Uniform,Round Glasses,"['48.00', '30.18', '23.95', '18.20', '13.99']","[152.185, 243.496, 243.496, 243.496, 243.496]",5.0,48.00,152.19,48.0
108,1106,2,Teal,Brown , Peach,Graduation Cap,Dirty Fiat,No Traits,No Traits,No Traits,['29.70'],[273.933],1.0,29.70,273.93,29.7
109,692,1,Blue,Purple , Purple,No Traits,No Traits,No Traits,Hoodie,No Traits,['16.29'],[243.496],1.0,16.29,243.5,16.29
110,1027,3,Red,Green , Green,Football Helmet,Soda,No Traits,Dress,No Traits,,,,,,
111,1757,4,Purple,Purple , Peach,The Croc Hunter,Soda,No Traits,Turtleneck,Round Glasses,"['57.48', '29.99']","[243.496, 243.496]",2.0,57.48,243.5,57.48
112,904,4,Red,Brown , Peach,No Traits,Pizza,Wooden Tooth,Striped T-Shirt,Aviator Glasses,"['91.01', '40.78', '14.36']","[243.496, 243.496, 243.496]",3.0,91.01,243.5,91.01
113,1034,2,Yellow,Brown , Peach,No Traits,Sushi,No Traits,Overalls,No Traits,"['60.00', '36.50', '14.37']","[30.437, 121.748, 243.496]",3.0,60.00,30.44,60.0
114,1080,4,Purple,Purple , Peach,Beanie,Sandwich,Wooden Tooth,Maid's Uniform,No Traits,"['79.51', '20.12', '18.20']","[243.496, 243.496, 273.933]",3.0,79.51,243.5,79.51
115,1191,2,Red,Red , Blue,Racoon Skin Hat,No Traits,No Traits,Pilot's Jacket,No Traits,,,,,,
116,5747,4,Black,Green , Peach,The Artist,Hotdog,Wooden Teeth,Maid's Uniform,No Traits,['335.30'],[243.496],1.0,335.30,243.5,335.3
117,796,2,Blue,Green , Peach,Baseball Cap,No Traits,No Traits,Overalls,No Traits,"['15.33', '14.20']","[243.496, 243.496]",2.0,15.33,243.5,15.33
